narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,split,noun_class_key,verb_class_key
P01_01_114,P01,P01_01,00:08:35.200,00:08:36.81,00:08:38.05,31008,31082,open drawer,open,3,drawer,8,['drawer'],[8],train,drawer,open
P01_01_115,P01,P01_01,00:08:36.460,00:08:37.88,00:08:39.13,31072,31147,take fork,take,0,fork,14,['fork'],[14],train,fork,take
P01_01_116,P01,P01_01,00:08:37.650,00:08:39.34,00:08:40.25,31160,31215,put down fork,put-down,1,fork,14,['fork'],[14],train,fork,put
P01_01_117,P01,P01_01,00:08:39.140,00:08:41.19,00:08:42.08,31271,31324,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_118,P01,P01_01,00:08:40.730,00:08:41.92,00:08:48.56,31315,31713,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_12,P01,P01_01,00:00:29.539,00:00:36.68,00:00:37.78,2200,2266,put down vegetables,put-down,1,vegetable,94,['vegetable'],[94],train,vegetable,put
P01_01_120,P01,P01_01,00:09:00.560,00:09:02.04,00:09:02.98,32522,32578,take container,take,0,container,21,['container'],[21],train,container,take
P01_01_121,P01,P01_01,00:09:04.130,00:09:06.39,00:09:07.42,32783,32845,open fridge,open,3,fridge,12,['fridge'],[12],train,fridge,open
P01_01_122,P01,P01_01,00:09:05.270,00:09:07.40,00:09:09.01,32844,32940,put container into fridge,put-into,5,container,21,"['container', 'fridge']","[21, 12]",train,container,insert
P01_01_123,P01,P01_01,00:09:07.270,00:09:09.28,00:09:10.03,32956,33001,close fridge,close,4,fridge,12,['fridge'],[12],train,fridge,close
P01_01_124,P01,P01_01,00:09:11.520,00:09:13.41,00:09:14.49,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_125,P01,P01_01,00:09:12.520,00:09:14.66,00:09:18.50,33279,33510,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_126,P01,P01_01,00:09:19.440,00:09:21.12,00:09:22.32,33667,33739,take grater,take,0,grater,96,['grater'],[96],train,grater,take
P01_01_127,P01,P01_01,00:09:30.260,00:09:21.12,00:09:22.52,33667,33751,take grater,take,0,grater,96,['grater'],[96],train,grater,take
P01_01_128,P01,P01_01,00:09:20.670,00:09:22.08,00:09:22.81,33724,33768,take carrots,take,0,carrot,41,['carrot'],[41],train,carrot,take
P01_01_129,P01,P01_01,00:09:23.250,00:09:24.25,00:09:28.84,33855,34130,cut carrots,cut,7,carrot,41,['carrot'],[41],train,carrot,cut
P01_01_13,P01,P01_01,00:00:39.780,00:00:41.79,00:00:42.55,2507,2553,open cupboard,open,3,cupboard,3,['cupboard'],[3],train,cupboard,open
P01_01_130,P01,P01_01,00:09:24.250,00:09:29.18,00:09:31.02,34150,34261,drop grater,drop,59,grater,96,['grater'],[96],train,grater,drop
P01_01_131,P01,P01_01,00:09:34.890,00:09:34.42,00:09:46.92,34465,35215,grate carrots,grate,77,carrot,41,['carrot'],[41],train,carrot,grate
P01_01_132,P01,P01_01,00:09:49.030,00:09:47.02,00:09:55.58,35221,35734,still grating carrots,grate,77,carrot,41,['carrot'],[41],train,carrot,grate
P01_01_133,P01,P01_01,00:10:13.600,00:09:50.29,00:10:00.72,35417,36043,still grating carrot,grate,77,carrot,41,['carrot'],[41],train,carrot,grate
P01_01_134,P01,P01_01,00:10:22.950,00:10:02.19,00:10:38.99,36131,38339,still grating carrot,grate,77,carrot,41,['carrot'],[41],train,carrot,grate
P01_01_135,P01,P01_01,00:10:37.680,00:10:39.51,00:10:40.27,38370,38416,put down grater,put-down,1,grater,96,['grater'],[96],train,grater,put
P01_01_136,P01,P01_01,00:10:39.580,00:10:41.81,00:10:42.83,38508,38569,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]",train,carrot,throw
P01_01_137,P01,P01_01,00:10:42.690,00:10:44.49,00:10:45.33,38669,38719,take grater,take,0,grater,96,['grater'],[96],train,grater,take
P01_01_138,P01,P01_01,00:10:48.120,00:10:49.68,00:10:50.77,38980,39046,put down grater,put-down,1,grater,96,['grater'],[96],train,grater,put
P01_01_139,P01,P01_01,00:10:50.470,00:10:52.77,00:10:53.83,39166,39229,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]",train,carrot,throw
P01_01_14,P01,P01_01,00:00:44.140,00:00:43.20,00:00:46.64,2592,2798,take cutting board,take,0,board:cutting,18,['board:cutting'],[18],train,board:chopping,take
P01_01_140,P01,P01_01,00:10:52.590,00:10:54.75,00:10:55.75,39285,39345,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_141,P01,P01_01,00:10:53.780,00:10:55.73,00:11:00.95,39343,39657,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_142,P01,P01_01,00:11:01.010,00:11:02.55,00:11:03.55,39753,39813,open cupboard,open,3,cupboard,3,['cupboard'],[3],train,cupboard,open
P01_01_143,P01,P01_01,00:11:04.990,00:11:03.55,00:11:05.30,39813,39918,take saucepan,take,0,saucepan,5,['saucepan'],[5],train,pan,take
P01_01_144,P01,P01_01,00:11:10.540,00:11:07.31,00:11:14.16,40038,40449,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],train,pan,put
P01_01_145,P01,P01_01,00:11:13.870,00:11:15.00,00:11:16.99,40500,40619,turn hob,turn,23,hob,24,['hob'],[24],train,hob,turn
P01_01_146,P01,P01_01,00:11:18.320,00:11:19.51,00:11:22.29,40770,40937,take kettle,take,0,kettle,44,['kettle'],[44],train,kettle,take
P01_01_147,P01,P01_01,00:11:22.750,00:11:23.41,00:11:37.36,41004,41841,pour water into saucepan,pour-into,9,water,27,"['water', 'saucepan']","[27, 5]",train,water,pour
P01_01_148,P01,P01_01,00:11:25.830,00:11:26.55,00:11:31.55,41193,41493,see boiling water,see,38,water:boiling,27,['water:boiling'],[27],train,water,look
P01_01_149,P01,P01_01,00:11:38.100,00:11:39.07,00:11:41.91,41944,42114,put down kettle,put-down,1,kettle,44,['kettle'],[44],train,kettle,put
P01_01_15,P01,P01_01,00:00:45.649,00:00:46.45,00:00:47.81,2787,2868,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],train,board:chopping,put
P01_01_150,P01,P01_01,00:11:42.520,00:11:43.86,00:11:45.41,42231,42324,take olive oil,take,0,oil:olive,31,['oil:olive'],[31],train,oil,take
P01_01_151,P01,P01_01,00:11:45.880,00:11:47.88,00:11:53.08,42472,42784,pour oil,pour,9,oil,31,['oil'],[31],train,oil,pour
P01_01_152,P01,P01_01,00:11:53.320,00:11:53.14,00:11:56.39,42788,42983,close oil,close,4,oil,31,['oil'],[31],train,oil,close
P01_01_153,P01,P01_01,00:11:54.480,00:11:56.49,00:11:57.82,42989,43069,put down oil,put-down,1,oil,31,['oil'],[31],train,oil,put
P01_01_154,P01,P01_01,00:11:56.240,00:11:57.92,00:11:58.80,43075,43128,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_155,P01,P01_01,00:11:57.770,00:11:59.03,00:12:00.04,43141,43202,take cutting board with onion,take,0,board:cutting,18,"['board:cutting', 'onion']","[18, 16]",train,board:chopping,take
P01_01_156,P01,P01_01,00:11:59.230,00:12:00.45,00:12:02.38,43227,43342,pouring onion,pour,9,onion,16,['onion'],[16],train,onion,pour
P01_01_157,P01,P01_01,00:12:01.540,00:12:02.45,00:12:03.55,43347,43413,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],train,board:chopping,put
P01_01_158,P01,P01_01,00:12:02.540,00:12:03.70,00:12:11.48,43422,43888,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_159,P01,P01_01,00:12:19.370,00:12:10.37,00:12:30.08,43822,45004,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_16,P01,P01_01,00:00:46.870,00:00:47.75,00:00:48.76,2865,2925,close cupboard,close,4,cupboard,3,['cupboard'],[3],train,cupboard,close
P01_01_160,P01,P01_01,00:12:29.000,00:12:30.39,00:12:31.52,45023,45091,take salt,take,0,salt,38,['salt'],[38],train,salt,take
P01_01_161,P01,P01_01,00:12:30.000,00:12:31.62,00:12:33.15,45097,45189,open salt,open,3,salt,38,['salt'],[38],train,salt,open
P01_01_162,P01,P01_01,00:12:31.020,00:12:32.75,00:12:34.00,45165,45240,put down salt,put-down,1,salt,38,['salt'],[38],train,salt,put
P01_01_163,P01,P01_01,00:12:32.020,00:12:33.09,00:12:34.49,45185,45269,open drawer,open,3,drawer,8,['drawer'],[8],train,drawer,open
P01_01_164,P01,P01_01,00:12:34.510,00:12:34.95,00:12:36.70,45297,45402,take spoon,take,0,spoon,1,['spoon'],[1],train,spoon,take
P01_01_165,P01,P01_01,00:12:36.330,00:12:37.80,00:12:41.59,45468,45695,pour salt onto spoon,pour-onto,9,salt,38,"['salt', 'spoon']","[38, 1]",train,salt,pour
P01_01_166,P01,P01_01,00:12:40.260,00:12:42.15,00:12:43.65,45729,45819,pour salt into water,pour-into,9,salt,38,"['salt', 'water']","[38, 27]",train,salt,pour
P01_01_167,P01,P01_01,00:12:41.640,00:12:42.73,00:12:44.37,45763,45862,stir water,stir,10,water,27,['water'],[27],train,water,mix
P01_01_168,P01,P01_01,00:12:43.290,00:12:44.91,00:12:45.76,45894,45945,close salt,close,4,salt,38,['salt'],[38],train,salt,close
P01_01_169,P01,P01_01,00:12:44.460,00:12:46.10,00:12:46.78,45966,46006,put down spoon,put-down,1,spoon,1,['spoon'],[1],train,spoon,put
P01_01_17,P01,P01_01,00:00:50.360,00:00:51.66,00:00:53.00,3099,3180,open drawer,open,3,drawer,8,['drawer'],[8],train,drawer,open
P01_01_170,P01,P01_01,00:12:46.130,00:12:47.50,00:12:49.40,46050,46164,put down salt,put-down,1,salt,38,['salt'],[38],train,salt,put
P01_01_171,P01,P01_01,00:12:48.110,00:12:49.54,00:12:50.27,46172,46216,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_172,P01,P01_01,00:12:51.740,00:12:50.26,00:12:51.32,46215,46279,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_173,P01,P01_01,00:12:50.660,00:12:51.40,00:12:52.66,46284,46359,adjust hob,adjust,17,hob,24,['hob'],[24],train,hob,adjust
P01_01_174,P01,P01_01,00:12:49.110,00:12:54.72,00:13:28.26,46483,48495,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_175,P01,P01_01,00:13:06.870,00:12:55.67,00:13:01.63,46540,46897,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_176,P01,P01_01,00:13:27.210,00:13:09.33,00:13:39.66,47359,49179,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_177,P01,P01_01,00:13:38.450,00:13:39.54,00:13:40.87,49172,49252,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_178,P01,P01_01,00:13:39.560,00:13:41.22,00:13:42.41,49273,49344,open cupboard,open,3,cupboard,3,['cupboard'],[3],train,cupboard,open
P01_01_179,P01,P01_01,00:13:43.300,00:13:42.41,00:13:45.17,49344,49510,take something,take,0,cupboard,3,['cupboard'],[3],train,cupboard,take
P01_01_18,P01,P01_01,00:00:54.670,00:00:53.50,00:00:56.00,3210,3360,take knife,take,0,knife,4,['knife'],[4],train,knife,take
P01_01_180,P01,P01_01,00:13:44.300,00:13:44.28,00:13:45.77,49456,49546,put down something,put-down,1,knife,4,['knife'],[4],train,knife,put
P01_01_181,P01,P01_01,00:13:46.370,00:13:46.91,00:13:48.61,49614,49716,take rice,take,0,rice,55,['rice'],[55],train,rice,take
P01_01_182,P01,P01_01,00:13:51.130,00:13:49.23,00:13:55.31,49753,50118,open rice,open,3,rice,55,['rice'],[55],train,rice,open
P01_01_183,P01,P01_01,00:13:57.640,00:13:59.14,00:14:00.44,50348,50426,put down rice,put-down,1,rice,55,['rice'],[55],train,rice,put
P01_01_184,P01,P01_01,00:13:58.950,00:14:00.71,00:14:01.64,50442,50498,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_185,P01,P01_01,00:13:59.950,00:14:01.74,00:14:07.27,50504,50836,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_186,P01,P01_01,00:14:14.190,00:14:07.37,00:14:24.11,50842,51846,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_187,P01,P01_01,00:14:22.410,00:14:24.26,00:14:25.31,51855,51918,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_188,P01,P01_01,00:14:24.060,00:14:26.00,00:14:27.27,51960,52036,take tofu,take,0,tofu,81,['tofu'],[81],train,tofu,take
P01_01_189,P01,P01_01,00:14:28.250,00:14:29.59,00:14:31.03,52175,52261,take knife,take,0,knife,4,['knife'],[4],train,knife,take
P01_01_19,P01,P01_01,00:00:51.700,00:00:53.55,00:00:54.36,3213,3261,take knife,take,0,knife,4,['knife'],[4],train,knife,take
P01_01_190,P01,P01_01,00:14:31.820,00:14:30.88,00:14:35.11,52252,52506,cut tofu sleeve,cut,7,tofu,81,['tofu'],[81],train,tofu,cut
P01_01_191,P01,P01_01,00:14:35.750,00:14:35.48,00:14:45.08,52528,53104,open tofu container,open,3,container:tofu,21,['container:tofu'],[21],train,container,open
P01_01_192,P01,P01_01,00:14:44.190,00:14:45.93,00:14:49.17,53155,53350,pour tofu onto pan,pour-onto,9,tofu,81,"['tofu', 'pan']","[81, 5]",train,tofu,pour
P01_01_193,P01,P01_01,00:14:45.310,00:14:49.53,00:14:50.92,53371,53455,put down tofu container,put-down,1,container:tofu,21,['container:tofu'],[21],train,container,put
P01_01_194,P01,P01_01,00:14:49.540,00:14:50.88,00:15:04.28,53452,54256,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",train,vegetable,mix
P01_01_195,P01,P01_01,00:15:02.690,00:15:04.17,00:15:05.18,54250,54310,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_196,P01,P01_01,00:15:06.260,00:15:05.28,00:15:08.19,54316,54491,take tofu container,take,0,container:tofu,21,['container:tofu'],[21],train,container,take
P01_01_197,P01,P01_01,00:15:10.040,00:15:09.33,00:15:11.48,54559,54688,throw something into the bin,throw-into,13,bin,36,['bin'],[36],train,bin,throw
P01_01_198,P01,P01_01,00:15:07.820,00:15:11.43,00:15:13.59,54685,54815,throw something into the bin,throw-into,13,bin,36,['bin'],[36],train,bin,throw
P01_01_199,P01,P01_01,00:15:15.490,00:15:17.61,00:15:18.43,55056,55105,throw tupperware container into the bin,throw-into,13,container:tupperware,23,"['container:tupperware', 'bin']","[23, 36]",train,box,throw
P01_01_2,P01,P01_01,00:00:05.349,00:00:06.98,00:00:09.49,418,569,close door,close,4,door,3,['door'],[3],train,cupboard,close
P01_01_20,P01,P01_01,00:00:56.670,00:00:54.73,00:00:55.74,3283,3344,put down knife,put-down,1,knife,4,['knife'],[4],train,knife,put
P01_01_200,P01,P01_01,00:15:19.570,00:15:21.64,00:15:22.39,55298,55343,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_201,P01,P01_01,00:15:20.570,00:15:21.66,00:15:28.69,55299,55721,stir vegetables in tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",train,vegetable,mix
P01_01_202,P01,P01_01,00:15:27.490,00:15:28.62,00:15:29.95,55717,55797,take rice,take,0,rice,55,['rice'],[55],train,rice,take
P01_01_203,P01,P01_01,00:15:37.010,00:15:31.78,00:15:37.61,55906,56256,pour rice into water,pour-into,9,rice,55,"['rice', 'water']","[55, 27]",train,rice,pour
P01_01_204,P01,P01_01,00:15:28.490,00:15:38.46,00:15:42.95,56307,56577,pour rice into water,pour-into,9,rice,55,"['rice', 'water']","[55, 27]",train,rice,pour
P01_01_205,P01,P01_01,00:15:46.130,00:15:45.45,00:15:51.60,56727,57096,fold rice bag,fold,28,bag:rice,19,['bag:rice'],[19],train,bag,fold
P01_01_206,P01,P01_01,00:15:49.310,00:15:51.70,00:15:53.04,57102,57182,close rice bag,close,4,bag:rice,19,['bag:rice'],[19],train,bag,close
P01_01_207,P01,P01_01,00:15:51.990,00:15:53.95,00:15:55.00,57237,57300,open cupboard,open,3,cupboard,3,['cupboard'],[3],train,cupboard,open
P01_01_208,P01,P01_01,00:15:52.990,00:15:55.05,00:15:56.87,57303,57412,put rice into cupboard,put-into,5,rice,55,"['rice', 'cupboard']","[55, 3]",train,rice,insert
P01_01_209,P01,P01_01,00:15:58.870,00:15:59.28,00:16:09.59,57556,58175,stir vegetables in tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",train,vegetable,mix
P01_01_21,P01,P01_01,00:00:55.670,00:00:56.10,00:00:56.60,3366,3396,close drawer,close,4,drawer,8,['drawer'],[8],train,drawer,close
P01_01_210,P01,P01_01,00:15:57.870,00:15:59.49,00:16:00.51,57569,57630,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_211,P01,P01_01,00:16:09.660,00:16:10.43,00:16:11.15,58225,58269,take bottle,take,0,bottle,15,['bottle'],[15],train,bottle,take
P01_01_212,P01,P01_01,00:16:10.660,00:16:11.25,00:16:11.96,58275,58317,open top,open,3,top,42,['top'],[42],train,top,open
P01_01_213,P01,P01_01,00:16:13.610,00:16:13.41,00:16:24.80,58404,59088,pour water into bottle,pour-into,9,water,27,"['water', 'bottle']","[27, 15]",train,water,pour
P01_01_214,P01,P01_01,00:16:23.010,00:16:23.64,00:16:25.68,59018,59140,close top,close,4,top,42,['top'],[42],train,top,close
P01_01_215,P01,P01_01,00:16:24.740,00:16:26.43,00:16:28.16,59185,59289,put bottle onto table,put-onto,1,bottle,15,"['bottle', 'table']","[15, 42]",train,bottle,put
P01_01_216,P01,P01_01,00:16:30.280,00:16:29.60,00:16:33.60,59376,59616,take cutlery,take,0,cutlery,58,['cutlery'],[58],train,cutlery,take
P01_01_217,P01,P01_01,00:16:33.190,00:16:34.54,00:16:37.07,59672,59824,open cupboard,open,3,cupboard,3,['cupboard'],[3],train,cupboard,open
P01_01_218,P01,P01_01,00:16:36.440,00:16:37.17,00:16:47.93,59830,60475,put cutlery into cupboard,put-into,5,cutlery,58,"['cutlery', 'cupboard']","[58, 3]",train,cutlery,insert
P01_01_219,P01,P01_01,00:16:45.910,00:16:47.68,00:16:49.46,60460,60567,close drawer,close,4,drawer,8,['drawer'],[8],train,drawer,close
P01_01_22,P01,P01_01,00:00:53.670,00:00:57.45,00:00:58.70,3447,3522,put down knife,put-down,1,knife,4,['knife'],[4],train,knife,put
P01_01_220,P01,P01_01,00:16:48.350,00:16:49.94,00:16:50.89,60596,60653,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_221,P01,P01_01,00:16:50.030,00:16:50.90,00:16:58.04,60654,61082,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",train,vegetable,mix
P01_01_222,P01,P01_01,00:16:56.740,00:16:58.21,00:17:00.21,61092,61212,adjust,adjust,17,hob,24,['hob'],[24],train,hob,adjust
P01_01_223,P01,P01_01,00:17:01.870,00:17:00.56,00:17:05.06,61233,61503,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_224,P01,P01_01,00:17:04.740,00:17:05.41,00:17:12.73,61524,61963,stir rice,stir,10,rice,55,['rice'],[55],train,rice,mix
P01_01_225,P01,P01_01,00:17:12.129,00:17:13.60,00:17:14.56,62015,62073,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_226,P01,P01_01,00:17:14.730,00:17:15.04,00:17:17.63,62102,62257,take spoon,take,0,spoon,1,['spoon'],[1],train,spoon,take
P01_01_227,P01,P01_01,00:17:16.279,00:17:16.96,00:17:21.42,62217,62485,take glass,take,0,glass,10,['glass'],[10],train,glass,take
P01_01_228,P01,P01_01,00:17:25.799,00:17:20.23,00:17:28.68,62413,62920,put down,put-down,1,glass,10,['glass'],[10],train,glass,put
P01_01_229,P01,P01_01,00:17:20.669,00:17:21.52,00:17:26.04,62491,62762,put down glass,put-down,1,glass,10,['glass'],[10],train,glass,put
P01_01_23,P01,P01_01,00:00:59.079,00:00:59.05,00:01:02.30,3543,3738,open tap,turn-on,6,tap,0,['tap'],[0],train,tap,turn-on
P01_01_230,P01,P01_01,00:17:24.799,00:17:26.31,00:17:28.40,62778,62904,open drawer,open,3,drawer,8,['drawer'],[8],train,drawer,open
P01_01_231,P01,P01_01,00:17:29.220,00:17:31.67,00:17:32.77,63100,63166,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_232,P01,P01_01,00:17:30.330,00:17:31.88,00:17:47.42,63112,64045,stir vegetables into a bowl,stir-into,10,vegetable,94,"['vegetable', 'bowl']","[94, 7]",train,vegetable,mix
P01_01_233,P01,P01_01,00:17:44.700,00:17:46.54,00:17:47.60,63992,64055,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_234,P01,P01_01,00:17:52.820,00:17:54.15,00:17:56.28,64449,64576,take container,take,0,container,21,['container'],[21],train,container,take
P01_01_235,P01,P01_01,00:17:53.820,00:17:55.38,00:17:56.71,64522,64602,open container,open,3,container,21,['container'],[21],train,container,open
P01_01_236,P01,P01_01,00:17:56.220,00:17:57.10,00:17:58.82,64625,64729,take container out of container,take-out,12,container,21,"['container', 'container']","[21, 21]",train,container,remove
P01_01_237,P01,P01_01,00:17:57.639,00:17:59.03,00:18:03.58,64741,65014,close container,close,4,container,21,['container'],[21],train,container,close
P01_01_238,P01,P01_01,00:18:00.190,00:18:03.68,00:18:04.55,65020,65073,put container back into cupboard,put,1,container,21,"['container', 'cupboard']","[21, 3]",train,container,put
P01_01_239,P01,P01_01,00:18:04.429,00:18:06.44,00:18:07.95,65186,65277,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_24,P01,P01_01,00:01:00.079,00:01:01.86,00:01:05.23,3711,3913,wash courgette,wash,2,courgette,76,['courgette'],[76],train,courgette,wash
P01_01_240,P01,P01_01,00:18:05.879,00:18:07.48,00:18:12.33,65248,65539,stir rice,stir,10,rice,55,['rice'],[55],train,rice,mix
P01_01_241,P01,P01_01,00:18:12.299,00:18:14.25,00:18:23.39,65655,66203,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",train,vegetable,mix
P01_01_242,P01,P01_01,00:18:29.429,00:18:19.02,00:18:51.26,65941,67875,still stirring vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",train,vegetable,mix
P01_01_243,P01,P01_01,00:18:50.129,00:18:51.93,00:18:53.76,67915,68025,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_244,P01,P01_01,00:19:22.529,00:19:23.09,00:19:31.98,69785,70318,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],train,vegetable,mix
P01_01_245,P01,P01_01,00:19:31.600,00:19:32.15,00:19:38.40,70329,70704,stir rice,stir,10,rice,55,['rice'],[55],train,rice,mix
P01_01_246,P01,P01_01,00:19:37.500,00:19:38.58,00:19:40.53,70714,70831,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_247,P01,P01_01,00:20:04.840,00:19:43.09,00:20:11.97,70985,72718,waiting for rice to be cooked,wait-for,72,rice,55,['rice'],[55],train,rice,wait
P01_01_248,P01,P01_01,00:20:12.460,00:20:14.16,00:20:15.40,72849,72924,take spatula,take,0,spatula,20,['spatula'],[20],train,spatula,take
P01_01_249,P01,P01_01,00:20:23.120,00:20:15.19,00:20:25.84,72911,73550,put down spatula,put-down,1,spatula,20,['spatula'],[20],train,spatula,put
P01_01_25,P01,P01_01,00:01:08.109,00:01:05.20,00:01:13.13,3912,4387,still washing courgette,wash,2,courgette,76,['courgette'],[76],train,courgette,wash
P01_01_250,P01,P01_01,00:20:13.460,00:20:15.33,00:20:25.72,72919,73543,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",train,vegetable,mix
P01_01_251,P01,P01_01,00:20:24.179,00:20:25.60,00:20:26.60,73536,73596,take spoon,take,0,spoon,1,['spoon'],[1],train,spoon,take
P01_01_252,P01,P01_01,00:20:28.610,00:20:27.73,00:20:30.68,73663,73840,scoop rice,scoop,16,rice,55,['rice'],[55],train,rice,scoop
